CustomerPaymentID,BillID,PaymentDate,AmountPaid
CPAY001,BILL001,2024-02-10,437.50
CPAY002,BILL003,2024-02-12,364.00
CPAY003,BILL005,2024-02-14,711.00
CPAY004,BILL007,2024-02-16,280.00
CPAY005,BILL009,2024-02-18,900.00
CPAY006,BILL011,2024-02-20,900.00
CPAY007,BILL013,2024-02-22,1000.00
CPAY008,BILL015,2024-02-24,1000.00
CPAY009,BILL017,2024-02-26,312.00
CPAY010,BILL019,2024-02-28,390.00
CPAY011,BILL021,2024-03-01,420.00
CPAY012,BILL023,2024-03-03,1500.00
CPAY013,BILL025,2024-03-05,1250.00
CPAY014,BILL027,2024-03-07,239.60
CPAY015,BILL029,2024-03-09,507.50
CPAY016,BILL031,2024-03-11,675.00
CPAY017,BILL033,2024-03-13,75.00
CPAY018,BILL035,2024-03-15,420.00
CPAY019,BILL037,2024-03-17,2000.00
CPAY020,BILL039,2024-03-19,1650.00
CPAY021,BILL041,2024-03-21,1250.00
CPAY022,BILL043,2024-03-23,1155.00
CPAY023,BILL045,2024-03-25,1120.00
CPAY024,BILL047,2024-03-27,900.00
CPAY025,BILL049,2024-03-29,390.00
CPAY026,BILL001,2024-02-11,0.00
CPAY027,BILL002,2024-02-13,0.00
CPAY028,BILL003,2024-02-15,0.00
CPAY029,BILL004,2024-02-17,0.00
CPAY030,BILL005,2024-02-19,0.00
CPAY031,BILL006,2024-02-21,0.00
CPAY032,BILL007,2024-02-23,0.00
CPAY033,BILL008,2024-02-25,0.00
CPAY034,BILL009,2024-02-27,0.00
CPAY035,BILL010,2024-02-29,0.00
CPAY036,BILL011,2024-03-02,0.00
CPAY037,BILL012,2024-03-04,0.00
CPAY038,BILL013,2024-03-06,0.00
CPAY039,BILL014,2024-03-08,0.00
CPAY040,BILL015,2024-03-10,0.00
CPAY041,BILL016,2024-03-12,0.00
CPAY042,BILL017,2024-03-14,0.00
CPAY043,BILL018,2024-03-16,0.00
CPAY044,BILL019,2024-03-18,0.00
CPAY045,BILL020,2024-03-20,0.00
CPAY046,BILL021,2024-03-22,0.00
CPAY047,BILL022,2024-03-24,0.00
CPAY048,BILL023,2024-03-26,0.00
CPAY049,BILL024,2024-03-28,0.00
CPAY050,BILL025,2024-03-30,0.00
